7zip 25.01-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-18
licenses 20240728-1
lilv 0.24.26-1
limine 10.1.1-1
limine-mkinitcpio-hook 1.24.0-3
limine-snapper-sync 1.16.2-1
linux 6.17.5.arch1-1
linux-api-headers 6.16-2
linux-firmware 20251021-1
linux-firmware-amdgpu 20251021-1
linux-firmware-atheros 20251021-1
linux-firmware-broadcom 20251021-1
linux-firmware-cirrus 20251021-1
linux-firmware-intel 20251021-1
linux-firmware-mediatek 20251021-1
linux-firmware-nvidia 20251021-1
linux-firmware-other 20251021-1
linux-firmware-radeon 20251021-1
linux-firmware-realtek 20251021-1
linux-firmware-whence 20251021-1
linux-headers 6.17.5.arch1-1
linuxtoys-bin 5.5.1-1
lld 21.1.4-1
llhttp 9.2.1-2
llvm 21.1.4-1
llvm-libs 21.1.4-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lmstudio 0.3.30.2-1
localsearch 3.10.1-1
localsend 1.17.0-2
lpsolve 5.5.2.11-3
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.5-2
lua 5.4.8-2
lua51-lpeg 1.1.0-4
luajit 2.1.1760617492-1
luarocks 3.12.2-1
lutris-git 0.5.19.r196.g9b8fd6b-1
lv2 1.18.10-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
mako 1.10.0-1
man-db 2.13.1-1
mariadb-libs 12.0.2-1
mbedtls 3.6.4-1
md4c 0.5.2-1
mdadm 4.4-2
media-player-info 26-1
mesa 1:25.2.5-2
mesa-utils 9.0.0-7
meson 1.9.1-2
minizip 1:1.3.1-2
mise 2025.10.17-1
mkinitcpio 39.2-5
mkinitcpio-busybox 1.36.1-1
mlt 7.32.0-5
mobile-broadband-provider-info 20250613-1
modemmanager 1.24.2-1
modemmanager-qt 6.19.0-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.2-1
mpv 1:0.40.0-7
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.7-1
nano 8.6-1
nautilus 49.1-2
ncdu 2.9.1-2
ncurses 6.5-4
neon 0.35.0-1
neovim 0.11.4-1
nettle 3.10.2-1
ninja 1.13.1-2
node-gyp 11.5.0-1
nodejs 25.0.0-1
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.10.01-1
